class,occurrences,candidate_group,page_only_candidate
.td-faq-a,4,faq-a,review
.td-faq-chev,3,faq-chev,review
.td-faq-item,4,faq-item,review
.td-faq-q,3,faq-q,review
.td-fbar,5,fbar,review
.td-fbar-applied,1,fbar-applied,review
.td-fbar-clear,4,fbar-clear,review
.td-fbar-label,1,fbar-label,review
.td-fbar-rail,3,fbar-rail,review
.td-fbar-search,4,fbar-search,review
.td-fbar-sort,4,fbar-sort,review
.td-fbar-sort-label,1,fbar-sort,review
.td-fbar-token,1,fbar-token,review
.td-fbar-token-x,4,fbar-token,review
.td-feed,1,feed,review
.td-feed-avatar,1,feed-avatar,review
.td-feed-body,1,feed-body,review
.td-feed-item,2,feed-item,review
.td-feed-pulse,1,feed-pulse,review
.td-feed-text,2,feed-text,review
.td-feed-time,1,feed-time,review
.td-field,1,field,review
.td-field--actions,1,field-,review
.td-field-error,1,field-error,review
.td-field-row,1,field-row,review
.td-fieldset,1,fieldset,review
.td-fieldset-legend,1,fieldset-legend,review
.td-filter-chip,7,filter-chip,review
.td-filter-chip-count,1,filter-chip,review
.td-filters,1,filters,review
.td-filters-clear,5,filters-clear,review
.td-filters-clear-x,4,filters-clear,review
.td-fine,1,fine,review
.td-footer,2,footer,review
.td-footer-addr,2,footer-addr,review
.td-footer-bottom,5,footer-bottom,review
.td-footer-bottom-links,1,footer-bottom,review
.td-footer-brand,5,footer-brand,review
.td-footer-brand-act,4,footer-brand,review
.td-footer-brand-copy,1,footer-brand,review
.td-footer-col,5,footer-col,review
.td-footer-contact,1,footer-contact,review
.td-footer-contactitem,5,footer-contactitem,review
.td-footer-contactitem-k,1,footer-contactitem,review
.td-footer-contactwell,1,footer-contactwell,review
.td-footer-contactwell-grid,2,footer-contactwell,review
.td-footer-contactwell-label,1,footer-contactwell,review
.td-footer-grid,4,footer-grid,review
.td-footer-hours,3,footer-hours,review
.td-footer-social,71,footer-social,review
.td-footer-sub,3,footer-sub,review
.td-footer-sub-label,2,footer-sub,review
.td-footer-sub-note,1,footer-sub,review
.td-footer-sub-slot,9,footer-sub,review
.td-footer-wa,3,footer-wa,review
.td-form,1,form,review
.td-frame,2,frame,review
.td-funnel,1,funnel,review
.td-funnel-bar,1,funnel-bar,review
.td-funnel-bar--accent,1,funnel-bar,review
.td-funnel-bar--brand,1,funnel-bar,review
.td-funnel-bar--green,1,funnel-bar,review
.td-funnel-bar--ink,1,funnel-bar,review
.td-funnel-row,1,funnel-row,review
.td-funnel-val,1,funnel-val,review
.td-gallery,3,gallery,review
.td-gallery-item,3,gallery-item,review
.td-gauge,4,gauge,review
.td-gauge-bar,4,gauge-bar,review
.td-gauge-bars,1,gauge-bars,review
.td-gauge-label,1,gauge-label,review
.td-gauge-value,1,gauge-value,review
.td-geo,3,geo,review
.td-geo-cell,6,geo-cell,review
.td-glass,2,glass,review
.td-glass-eyebrow,1,glass-eyebrow,review
.td-glass-text,1,glass-text,review
.td-glass-title,1,glass-title,review
.td-glowicon,19,glowicon,review
.td-glowicon--azure,11,glowicon-,review
.td-glowicon--fb,21,glowicon-,review
.td-glowicon--ig,21,glowicon-,review
.td-glowicon--invert,11,glowicon-,review
.td-glowicon--li,21,glowicon-,review
.td-glowicon--papaya,11,glowicon-,review
.td-glowicon--text,5,glowicon-,review
.td-glowicon--wa,19,glowicon-,review
.td-glowicon--wa-inv,10,glowicon-,review
.td-glowicon--x,23,glowicon-,review
.td-glowicon--yt,21,glowicon-,review
.td-glowicon-label,13,glowicon-label,review
.td-gps,1,gps,review
.td-gps-head,1,gps-head,review
.td-gps-loc,1,gps-loc,review
.td-gps-pulse,2,gps-pulse,review
.td-gps-time,1,gps-time,review
.td-h1,3,h1,review
.td-h1-line,4,h1-line,review
.td-h2,3,h2,review
.td-h3,3,h3,review
